Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Grayshift,Series A - Grayshift,"$47,000,000","Jun 1, 2020","Atlanta, Georgia, United States, North America","Law Enforcement, Security","Grayshift is a provider of mobile device digital forensics, specializing in lawful access and extraction.",Series A
Satys,Venture Round - Satys,"€40,000,000","Sep 30, 2021","Blagnac, Midi-Pyrenees, France, Europe",Aerospace,Satys offers the aviation and rail industry unique services resulting from its in-house team of painting & sealing experts.,Venture - Series Unknown
Orbex Space,Series C - Orbex Space,"£40,400,000","Oct 18, 2022","Forres, Moray, United Kingdom, Europe","Aerospace, Autonomous Vehicles, Satellite Communication, Space Travel","Orbex is a space company that offers orbital launch services specifically designed for small satellites, with a focus on reusability.",Series C
Aerospacelab,Series B - Aerospacelab,"€40,000,000","Feb 16, 2022","Mont-saint-guibert, Brabant Wallon, Belgium, Europe",Aerospace,Aerospacelab is a company aiming at tackling some of the most challenging problems with a completely different paradigm.,Series B
Impulse Space,Series A - Impulse Space,"$45,000,000","Jul 24, 2023","El Segundo, California, United States, North America","Aerospace, Manufacturing, Space Travel",Impulse Space develops orbital maneuvering vehicles for last-mile cargo delivery.,Series A
Boom Supersonic,Venture Round - Boom Supersonic,"$45,000,000","Jun 18, 2021","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Venture - Series Unknown
Wingcopter,Series A - Wingcopter,"€42,000,000","Jun 21, 2022","Weiterstadt, Hessen, Germany, Europe","Aerospace, Air Transportation, Drones, Last Mile Transportation, Logistics",Wingcopter is a manufacturer of unmanned eVTOL fixed-wing aircrafts for commercial and humanitarian applications.,Series A
The Exploration Company,Series A - The Exploration Company,"€40,000,000","Feb 1, 2023","Munich, Bayern, Germany, Europe","Aerospace, Air Transportation, Manufacturing, Space Travel","The Exploration Company develops, manufactures and operates modular and reusable spaceships serving the needs of space stations.",Series A
Varda,Series A - Varda,"$42,000,000","Jul 21, 2021","San Francisco, California, United States, North America","Aerospace, Manufacturing, Product Design",Varda is a space manufacturing startup that creates products in microgravity and retrieves them for terrestrial use.,Series A
Accion Systems,Series C - Accion Systems,"$42,000,000","Jul 21, 2021","Boston, Massachusetts, United States, North America","Aerospace, Hardware, Manufacturing, Product Design",Accion Systems provides in-space propulsion systems for satellites based on proprietary technology developed at MIT.,Series C
Space Perspective,Series A - Space Perspective,"$41,000,000","Oct 14, 2021","Merritt Island, Florida, United States, North America","Aerospace, Space Travel, Tourism",Space Perspective is a space travel company that provides an accessible carbon-neutral spaceflight experience.,Series A
Slingshot Aerospace,Series A - Slingshot Aerospace,"$40,850,000","Dec 6, 2022","Austin, Texas, United States, North America","Aerospace, Analytics, Simulation, Software","Slingshot Aerospace builds space data, analytics, and simulation solutions.",Series A
Second Front Systems,Series B - Second Front Systems,"$40,000,000","Nov 22, 2023","Wilmington, Delaware, United States, North America","Information Services, Information Technology, National Security, SaaS, Software",Second Front Systems accelerates the delivery of software-as-a-service (SaaS) solutions to the government.,Series B
Astranis,Series B - Astranis,"$40,000,000","Feb 13, 2020","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Series B
LyteLoop,Venture Round - LyteLoop,"$40,000,000","Feb 9, 2021","Great Neck, New York, United States, North America","Aerospace, Data Storage",LyteLoop operates as a data storage company.,Venture - Series Unknown
Gecko Robotics,Series B - Gecko Robotics,"$40,000,000","Dec 16, 2019","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series B
DRONAMICS,Seed Round - DRONAMICS,"$40,000,000","Feb 17, 2023","London, England, United Kingdom, Europe","Aerospace, Drones, Logistics, Shipping",DRONAMICS is a cargo drone airline that develops drone technology for cargo transportation and logistics operations.,Seed
Skydweller,Series A - Skydweller,"$40,000,000","Sep 9, 2021","Alexandria, Virginia, United States, North America","Aerospace, Drones, Geospatial, Government, GovTech, Telecommunications",Skydweller is an aerospace company developing solar powered aircraft capable of perpetual flight.,Series A
Xwing,Series B - Xwing,"$40,000,000","Apr 15, 2021","San Francisco, California, United States, North America","Aerospace, Industrial Engineering, Software",Xwing is an autonomous aviation company building a network of autonomous aircraft for regional distances.,Series B
Elroy Air,Series A - Elroy Air,"$40,000,000","Aug 4, 2021","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Series A
Mark43,Venture Round - Mark43,"$39,999,992","May 31, 2024","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Venture - Series Unknown
Ursa Major,Series D - Ursa Major,"$38,000,000","Nov 30, 2023","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series D
Pyka,Series A - Pyka,"$37,000,000","Apr 27, 2022","Oakland, California, United States, North America","Aerospace, Air Transportation, Autonomous Vehicles, Robotics","Pyka is harnessing automation and electrification to make aviation safer, cleaner, and more cost-effective than ever before.",Series A
Pixxel,Series B - Pixxel,"$36,000,000","Jun 1, 2023","El Segundo, California, United States, North America","Aerospace, Geospatial, Information Technology, Satellite Communication",Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Series B
ZeroAvia,Series B - ZeroAvia,"$35,000,000","Dec 13, 2021","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series B
SpinLaunch,Venture Round - SpinLaunch,"$35,000,000","Jan 16, 2020","Long Beach, California, United States, North America","Aerospace, Space Travel",SpinLaunch is an aerospace company focused on sending satellites to low-Earth orbit using kinetic energy.,Venture - Series Unknown
Heart Aerospace,Series A - Heart Aerospace,"$35,000,000","Jul 13, 2021","Göteborg, Vastra Gotaland, Sweden, Europe",Aerospace,Heart Aerospace is a Swedish startup making electric regional airplanes.,Series A
Defense Unicorns,Series A - Defense Unicorns,"$35,000,000","Mar 7, 2024","Colorado Springs, Colorado, United States, North America","Information Technology, National Security, Software, Software Engineering",Defense Unicorns is a software startup that provides open-source software and AI capabilities for National Security systems.,Series A
Air Space Intelligence,Series B - Air Space Intelligence,"$34,000,000","Dec 7, 2023","San Francisco, California, United States, North America","Aerospace, Software",A software-first aerospace company.,Series B
Skyrora,Series A - Skyrora,"£25,500,000","Jan 1, 2020","Edinburgh, Edinburgh, City of, United Kingdom, Europe",Aerospace,"Skyrora is a launch services provider dedicated to delivering small satellites into orbit in a responsive, versatile, eco-friendly manner.",Series A
Benchmark Space Systems,Series B - Benchmark Space Systems,"$33,262,373","Jul 5, 2023","South Burlington, Vermont, United States, North America","Aerospace, Hardware, Manufacturing",Benchmark Space Systems is an aerospace company that offers propulsion solutions for small satellite applications.,Series B
VoltAero,Series B - VoltAero,"€32,000,000","Nov 15, 2022","Médis, Poitou-Charentes, France, Europe","Aerospace, Electric Vehicle",VoltAero is a unique aircraft with parallel electric-hybrid propulsion.,Series B
Rocket Factory Augsburg,Venture Round - Rocket Factory Augsburg,"€30,000,000","Aug 7, 2023","Augsburg, Bayern, Germany, Europe","Aerospace, Satellite Communication, Space Travel",RFA - Rocket Factory Augsburg is a space technologies company offering fast & flexible launch solutions for satellite constellations.,Venture - Series Unknown
